00	00	00	00	00	00	7C	0F
00	00	00	00	00	00	7C	0F
00	00	00	00	11	B5	00	28
00	00	00	00	00	00	51	1F
0A	3E	00	00	00	00	00	28
11	B5	00	00	00	00	00	0A
00	00	00	00	11	94	00	28
00	00	00	00	00	00	7C	2A
11	67	00	00	00	00	00	0A
00	00	00	00	0C	0A	00	28
00	00	00	00	0E	00	00	37
00	00	00	00	00	00	AC	2E
11	23	00	00	00	00	00	37
00	00	00	00	00	00	3E	22
00	00	00	00	0C	B5	00	0A
00	00	00	00	00	00	23	2D
11	FA	00	00	00	00	00	28
0B	4C	00	00	00	00	00	0A
00	00	00	00	0F	29	00	0A
00	00	00	00	00	00	64	13
11	DF	00	00	00	00	00	28
00	00	00	00	11	B5	00	0A
00	00	00	00	11	5D	00	28
00	00	00	00	00	00	7E	02
11	B5	00	00	00	00	00	28
00	00	00	00	00	00	96	3A
00	00	00	00	0A	18	00	28
00	00	00	00	00	00	9C	18
09	6B	00	00	00	00	00	28
11	B5	00	00	00	00	00	0A
00	00	00	00	0E	1E	00	28
00	00	00	00	00	00	9C	3B
0A	B5	00	00	00	00	00	28
00	00	00	00	11	CA	00	0A
00	00	00	00	0B	B5	00	0A
00	00	00	00	00	00	3B	29
03	A6	00	00	00	00	00	0A
00	00	00	00	00	00	7A	0A
00	00	00	00	11	CB	00	0A
00	00	00	00	00	00	A3	00
09	01	00	00	00	00	00	28
10	05	00	00	00	00	00	0A
00	00	00	00	02	B5	00	28
00	00	00	00	00	00	7C	24
11	B5	00	00	00	00	00	28
00	00	00	00	11	E4	00	37
00	00	00	00	11	03	00	0A
00	00	00	00	00	00	9B	14
11	B5	00	00	00	00	00	0A
00	00	00	00	00	00	AA	2D
00	00	00	00	09	39	00	28
00	00	00	00	00	00	9E	1C
0D	B5	00	00	00	00	00	28
0E	33	00	00	00	00	00	28
00	00	00	00	11	E5	00	0A
00	00	00	00	00	00	82	27
0A	B5	00	00	00	00	00	0A
00	00	00	00	0C	B5	00	0A
00	00	00	00	11	B5	00	28
00	00	00	00	00	00	29	2C
0D	F5	00	00	00	00	00	28
00	00	00	00	00	00	9E	2F
00	00	00	00	04	B5	00	0A
00	00	00	00	00	00	9B	20
11	19	00	00	00	00	00	0A
11	B5	00	00	00	00	00	0A
00	00	00	00	0E	B5	00	0A
00	00	00	00	00	00	7C	11
11	F4	00	00	00	00	00	0A
00	00	00	00	0F	2D	00	37
00	00	00	00	11	F0	00	0A
00	00	00	00	00	00	03	36
11	5B	00	00	00	00	00	0A
00	00	00	00	00	00	48	2D
00	00	00	00	11	B5	00	28
00	00	00	00	00	00	42	18
11	B5	00	00	00	00	00	37
11	DA	00	00	00	00	00	0A
00	00	00	00	11	B5	00	0A
00	00	00	00	00	00	99	39
10	B5	00	00	00	00	00	0A
00	00	00	00	11	A2	00	0A
00	00	00	00	11	B5	00	37
00	00	00	00	00	00	AE	17
0D	19	00	00	00	00	00	0A
00	00	00	00	00	00	7C	15
00	00	00	00	0C	45	00	28
00	00	00	00	00	00	49	37
0F	F8	00	00	00	00	00	0A
09	B5	00	00	00	00	00	28
00	00	00	00	09	30	00	19
00	00	00	00	00	00	7C	35
11	7C	00	00	00	00	00	0A
00	00	00	00	11	E9	00	0A
00	00	00	00	0D	A5	00	28
00	00	00	00	00	00	5C	16
11	A8	00	00	00	00	00	19
00	00	00	00	00	00	7C	20
00	00	00	00	10	C6	00	19
00	00	00	00	00	00	88	0D
0B	95	00	00	00	00	00	0A
10	94	00	00	00	00	00	37
00	00	00	00	03	90	00	0A
00	00	00	00	00	00	7C	16
09	00	00	00	00	00	00	0A
00	00	00	00	0F	07	00	19
00	00	00	00	0F	86	00	28
00	00	00	00	00	00	7C	12
11	B5	00	00	00	00	00	28
00	00	00	00	00	00	9A	2E
00	00	00	00	11	79	00	0A
00	00	00	00	00	00	99	2F
0C	5A	00	00	00	00	00	19
11	B5	00	00	00	00	00	28
00	00	00	00	10	F9	00	0A
00	00	00	00	00	00	99	14
10	B5	00	00	00	00	00	28
00	00	00	00	11	BB	00	37
00	00	00	00	11	55	00	19
00	00	00	00	00	00	83	1C
11	B5	00	00	00	00	00	19
00	00	00	00	00	00	18	0F
00	00	00	00	11	B5	00	19
00	00	00	00	00	00	84	17
0F	99	00	00	00	00	00	0A
05	B5	00	00	00	00	00	19
00	00	00	00	0D	4D	00	28
00	00	00	00	00	00	83	0A
09	16	00	00	00	00	00	37
00	00	00	00	0F	52	00	28
00	00	00	00	03	FE	00	19
00	00	00	00	00	00	7C	04
11	6F	00	00	00	00	00	28
00	00	00	00	00	00	7C	14
00	00	00	00	09	37	00	37
00	00	00	00	00	00	A3	11
11	B5	00	00	00	00	00	19
0C	B5	00	00	00	00	00	19
00	00	00	00	0F	74	00	19
00	00	00	00	00	00	61	21
11	CA	00	00	00	00	00	28
00	00	00	00	0D	B5	00	19
00	00	00	00	11	01	00	19
00	00	00	00	00	00	99	0C
09	06	00	00	00	00	00	19
00	00	00	00	00	00	0F	2C
00	00	00	00	11	B5	00	19
00	00	00	00	00	00	88	12
07	D9	00	00	00	00	00	37
11	53	00	00	00	00	00	28
00	00	00	00	11	B5	00	37
00	00	00	00	00	00	98	25
0F	84	00	00	00	00	00	37
00	00	00	00	11	B9	00	19
00	00	00	00	0D	E1	00	0A
00	00	00	00	00	00	9C	3B
11	12	00	00	00	00	00	37
00	00	00	00	00	00	A1	31
00	00	00	00	0F	A2	00	0A
00	00	00	00	00	00	40	0F
09	B5	00	00	00	00	00	0A
0D	F3	00	00	00	00	00	0A
00	00	00	00	0C	10	00	0A
00	00	00	00	00	00	5C	2B
09	22	00	00	00	00	00	28
00	00	00	00	0D	4B	00	0A
00	00	00	00	10	07	00	0A
00	00	00	00	00	00	A3	25
11	9D	00	00	00	00	00	0A
00	00	00	00	00	00	26	07
00	00	00	00	11	B5	00	0A
00	00	00	00	00	00	48	2E
09	B5	00	00	00	00	00	0A
0F	30	00	00	00	00	00	37
00	00	00	00	11	87	00	0A
00	00	00	00	00	00	99	1E
0C	39	00	00	00	00	00	0A
00	00	00	00	11	B5	00	28
00	00	00	00	0B	E1	00	0A
00	00	00	00	00	00	A0	2B
11	AB	00	00	00	00	00	28
00	00	00	00	00	00	7B	36
00	00	00	00	0E	B5	00	28
00	00	00	00	00	00	B6	11
04	2B	00	00	00	00	00	0A
11	28	00	00	00	00	00	0A
00	00	00	00	08	6F	00	0A
00	00	00	00	00	00	93	18
03	B5	00	00	00	00	00	37
00	00	00	00	0C	E4	00	0A
00	00	00	00	0B	4E	00	0A
00	00	00	00	00	00	1D	35
11	74	00	00	00	00	00	28
00	00	00	00	00	00	9D	08
00	00	00	00	0A	40	00	0A
00	00	00	00	00	00	2C	39
0F	4C	00	00	00	00	00	0A
11	57	00	00	00	00	00	0A
00	00	00	00	11	35	00	28
00	00	00	00	00	00	7C	38
04	CF	00	00	00	00	00	0A
00	00	00	00	11	79	00	28
00	00	00	00	0C	B5	00	0A
00	00	00	00	00	00	48	18
0B	9E	00	00	00	00	00	28
00	00	00	00	00	00	89	37
00	00	00	00	04	B5	00	0A
00	00	00	00	00	00	AA	13
11	B5	00	00	00	00	00	28
11	94	00	00	00	00	00	0A
00	00	00	00	0A	A3	00	28
00	00	00	00	00	00	7C	1B
11	B5	00	00	00	00	00	0A
00	00	00	00	11	B5	00	37
00	00	00	00	0E	BC	00	0A
00	00	00	00	00	00	49	20
11	B5	00	00	00	00	00	0A
00	00	00	00	00	00	9E	0F
00	00	00	00	10	B6	00	28
00	00	00	00	00	00	83	21
11	8B	00	00	00	00	00	37
11	BD	00	00	00	00	00	0A
00	00	00	00	11	34	00	28
00	00	00	00	00	00	98	2B
0F	B5	00	00	00	00	00	28
00	00	00	00	0A	B5	00	0A
00	00	00	00	0A	91	00	37
00	00	00	00	00	00	A7	0F
10	B5	00	00	00	00	00	19
00	00	00	00	00	00	A3	0D
00	00	00	00	11	38	00	0A
00	00	00	00	00	00	A0	1C
10	E1	00	00	00	00	00	0A
11	B5	00	00	00	00	00	19
00	00	00	00	08	1F	00	28
00	00	00	00	00	00	88	29
0B	B5	00	00	00	00	00	0A
00	00	00	00	11	B5	00	37
00	00	00	00	11	00	00	0A
00	00	00	00	00	00	81	0A
0D	B5	00	00	00	00	00	19
00	00	00	00	00	00	7C	1B
00	00	00	00	11	68	00	0A
00	00	00	00	00	00	7C	21
10	78	00	00	00	00	00	19
0E	14	00	00	00	00	00	28
00	00	00	00	0C	96	00	19
00	00	00	00	00	00	40	0C
11	33	00	00	00	00	00	37
00	00	00	00	11	ED	00	28
00	00	00	00	11	B5	00	19
00	00	00	00	00	00	7F	3A
11	B5	00	00	00	00	00	28
00	00	00	00	00	00	9D	0D
00	00	00	00	0E	D5	00	37
00	00	00	00	00	00	36	27
03	4F	00	00	00	00	00	19
0C	F7	00	00	00	00	00	0A
00	00	00	00	05	D1	00	37
00	00	00	00	00	00	5D	2D
10	B5	00	00	00	00	00	37
00	00	00	00	09	B5	00	19
00	00	00	00	0E	D4	00	37
00	00	00	00	00	00	46	0D
0B	99	00	00	00	00	00	19
00	00	00	00	00	00	98	22
00	00	00	00	0E	B5	00	37
00	00	00	00	00	00	39	22
11	42	00	00	00	00	00	37
10	B5	00	00	00	00	00	19
00	00	00	00	11	B5	00	37
00	00	00	00	00	00	46	21
10	41	00	00	00	00	00	37
00	00	00	00	0D	B5	00	19
00	00	00	00	11	BE	00	0A
00	00	00	00	00	00	7B	10
01	21	00	00	00	00	00	0A
00	00	00	00	00	00	AC	16
00	00	00	00	0D	18	00	37
00	00	00	00	00	00	9B	2B
09	B5	00	00	00	00	00	19
11	B5	00	00	00	00	00	0A
00	00	00	00	0E	8B	00	28
00	00	00	00	00	00	A3	03
0A	BD	00	00	00	00	00	0A
00	00	00	00	0A	FE	00	19
00	00	00	00	11	B5	00	28
00	00	00	00	00	00	40	0C
0D	D4	00	00	00	00	00	0A
00	00	00	00	00	00	9C	15
00	00	00	00	0F	2F	00	28
00	00	00	00	00	00	7B	00
10	B5	00	00	00	00	00	19
08	B5	00	00	00	00	00	0A
00	00	00	00	11	26	00	28
00	00	00	00	00	00	42	24
0C	69	00	00	00	00	00	37
00	00	00	00	11	6B	00	0A
00	00	00	00	08	FA	00	37
00	00	00	00	00	00	7C	1F
0D	B6	00	00	00	00	00	0A
00	00	00	00	00	00	42	2B
00	00	00	00	10	BA	00	0A
00	00	00	00	00	00	9A	20
02	BF	00	00	00	00	00	28
11	B5	00	00	00	00	00	0A
00	00	00	00	11	2C	00	0A
00	00	00	00	00	00	23	11
10	DA	00	00	00	00	00	0A
00	00	00	00	11	B5	00	0A
00	00	00	00	10	BE	00	0A
00	00	00	00	00	00	71	25
11	F2	00	00	00	00	00	0A
00	00	00	00	00	00	98	07
00	00	00	00	0F	B5	00	0A
00	00	00	00	00	00	7C	1D
11	B5	00	00	00	00	00	0A
11	B5	00	00	00	00	00	0A
00	00	00	00	11	A0	00	0A
00	00	00	00	00	00	B3	02
0F	C4	00	00	00	00	00	0A
00	00	00	00	0F	0D	00	0A
00	00	00	00	11	B5	00	0A
00	00	00	00	00	00	9A	12
10	B5	00	00	00	00	00	28
00	00	00	00	00	00	BC	1C
00	00	00	00	11	B5	00	0A
00	00	00	00	00	00	99	2D
0E	95	00	00	00	00	00	28
09	B5	00	00	00	00	00	0A
00	00	00	00	11	6B	00	0A
00	00	00	00	00	00	7C	26
11	B0	00	00	00	00	00	28
00	00	00	00	09	B5	00	0A
00	00	00	00	0C	2A	00	0A
00	00	00	00	00	00	21	0D
0C	9E	00	00	00	00	00	28
00	00	00	00	00	00	99	11
00	00	00	00	11	EB	00	0A
00	00	00	00	00	00	9C	15
0A	29	00	00	00	00	00	28
09	59	00	00	00	00	00	0A
